Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
61,freccia,freccia,"Freccia means Arrow in Italian and may refer to:

Italian Armoured Division Freccia, of the Italian army in World War II.
Fiat G.50 Freccia, an Italian fighter aircraft of World War II.
Freccia class destroyers, of the Italian navy.
Freccia, a wheeled Italian Infantry Fighting Vehicle.
Le Frecce, high-speed trains operated by Trenitalia in Italy.See also:

Alfa Romeo, an Italian automobile known as La freccia rossa (The red arrow)
Pietro Mennea, an Italian sprinter known as Freccia del Sud (Arrow of the South).",2,1
67,sachs,sachs,"Sachs is a German surname, meaning ""man from Saxony"" or ""man from Saxon extract"". The Saxons derived their name from seax, a kind of knife for which they were known. The seax has a lasting symbolic impact in the English counties of Essex and Middlesex, both of which feature three seaxes in their ceremonial emblem. Their names, along with those of Sussex and Wessex, contain a remnant of the word ""Saxon"". 
Notable people with the surname Sachs include:

Albie Sachs (born 1935), South African Constitutional Court Justice
Andrew Sachs (1930–2016), German-British actor
Bernard Sachs (1858–1944), American neurologist
Curt Sachs (also Kurth Sachs, 1881–1959), music historian
Eddie Sachs (1927–1964), American racecar driver
Ernest Sachs (1879–1958), American neurosurgeon
Ernest Sachs, Jr. (1916–2001), American neurosurgeon
Gunter Sachs (1932–2011), German photographer, researcher (mathematics and astrology), and playboy
George Sachs (1896–1961), Russia-born German and US metallurgist
Hans Sachs (disambiguation)
Hans Sachs (1494–1576), German poet
Hans Sachs (serologist) (1877–1945), German serologist
Harvey Sachs (born 1946), American-Canadian conductor and writer
Heinrich Sachs (1863–1928), German neuroanatomist
Hilda Sachs (1857–1935), Swedish journalist and women's rights activist
Horst Sachs, German mathematician, expert in graph theory
Hugh Sachs, British actor in the TV series Benidorm
Ignacy Sachs (born 1927), Polish, naturalized French economist and ecosocioeconomist
James D. Sachs, retired U.S. Air Force veteran, game artist, and game programmer
Jeffrey Sachs (born 1954), American economist
Johann Sachs (born 1843), German composer
Jonathan Sachs (born 1947), American computer programmer
Julius von Sachs (1832–1897), German botanist
Lenny Sachs (1897–1942), American football player and basketball coach
Lessie Sachs (1897–1942), German-born poet and artist
Leonard Sachs (1909–1990), British actor
Prof Marcus Sachs (1812-1869) Professor of Hebrew in Aberdeen
Margaret Michaelis-Sachs (1902–1985), art photographer
Margaret Sachs, an American lawyer and the Robert Cotten Alston Professor at University of Georgia
Maria Sachs, American politician
Mary Sachs (1882–1973), American playwright and poet.
Maurice Sachs (1906–1945), French author
Mavro Sachs (1817–1888), Croatian physician
Mendel Sachs (born 1927), American physicist
Michael Sachs (born 1808), German rabbi
Milan Sachs (1884–1968), Czech-Croatian opera conductor and composer
Moses Sachs (1800–1870), German Meshulach
Nelly Sachs (1891–1970), German poet
Paul J. Sachs (1878–1965), American museum director
Philip Sachs (1902–1973), American professional basketball coach
Rainer K. Sachs (born 1932), German-born American scientist known for his work in astrophysics and biophysics
Robin Sachs (1951–2013), British actor
Stephen Sachs (born 1959), American stage director and playwright
Stephen H. Sachs (born 1934), American politician and Attorney General of Maryland
Wolfgang Sachs, German researcher and author of booksFictional characters:

Andrea Sachs, created by Lauren Weisberger
Daniel Sachs, from an online graphic novel Demonology 101
Amelia Sachs, an NYPD police officer in the Lincoln Rhyme series of crime/mystery novels by Jeffery Deaver.
Benjamin Sachs, protagonist in the novel Leviathan (Auster novel) by Paul Auster",2,1
71,metelli,metelli,"The Caecilii Metelli, one of the most important and wealthy families in the Roman Republic, came of  noble (although plebeian, not patrician) stock.  The Caecilii Metelli remained a political power within the state from the 3rd century BC to the end of the Republic in the 1st century BC, holding every office in the cursus honorum as well as several important military commands.
Important members of the Caecilius Metellus clan include:

Lucius Caecilius Metellus Denter, consul 284 BC, died in battle against the Senones at Arretium in 284 BC
Lucius Caecilius Metellus, consul 251 BC and 247 BC, died 221 BC, pontifex maximus
Quintus Caecilius Metellus, consul 206 BC
Quintus Caecilius Metellus, tribune of the plebeians
Quintus Caecilius Metellus
Quintus Caecilius Metellus Macedonicus - eldest son of Quintus Caecilius Metellus, consul in 206 BC. A brilliant general, he fought in the Fourth Macedonic War, securing in 146 BC the annexation of Macedonia as a Roman province, hence the agnomen ""Macedonicus"". He was elected consul in 143 BC and censor in 131 BC. During his censorship, Macedonicus legislated to make marriage compulsory for Romans, a law that was never put into practice. He died in 115 BC.
Lucius Caecilius Metellus Calvus, consul 142 BC
Quintus Caecilius Metellus Balearicus, consul 123 BC, censor 120 BC
Lucius Caecilius Metellus Dalmaticus, consul 119 BC, pontifex maximus in 115 BC, father of Caecilia Metella Dalmatica
Lucius Caecilius Metellus Diadematus, consul 117 BC, censor 115 BC
Marcus Caecilius Metellus, consul 115 BC
Gaius Caecilius Metellus Caprarius, consul 113 BC, censor 102 BC
Quintus Caecilius Metellus Numidicus, consul 109 BC, censor 102 BC, second son of Metellus Calvus, political opponent of Gaius Marius
Quintus Caecilius Metellus Nepos - son of Balearicus, consul in 98 BC. Some of the few known aspects of his life involve the circumstances that surrounded his marriage to Licinia Crassa, the mother of his sons. Licinia was already married to another man, Quintus Mucius Scaevola, when they started an affair. Being discovered, Licinia was outcast and branded as an adulteress - but Metellus Nepos, rather than lose her, divorced his wife and married her less than a week after. This caused such a scandal that the several references to the wedding occur in ancient sources.
Quintus Caecilius Metellus Pius - only son of Metellus Numidicus, started his military career as a legate to Lucius Cornelius Sulla in the Social War. After the outlawing of Sulla he remained faithful to his commander and fled to Africa. In 83 BC he returned to Sulla and helped him win the civil war that eventually made Sulla dictator. To reward him for his services, Sulla nominated him as Pontifex Maximus. He was elected consul 80 BC, and afterwards sent as a proconsul to the Hispania provinces. For the next eight years he remained in Iberia, fighting against the rebellious Quintus Sertorius, the last five with the help of Gnaeus Pompeius Magnus. He eventually returned to Rome, where he celebrated a  triumph for his victories in Hispania. He died around 63 BC. For his campaign against Sertorius, Metellus Pius earned the respect of Roman military historians, particularly Frontinus who often refers his deeds in the book Stratagemata.
Quintus Caecilius Metellus Creticus, consul 69 BC
Lucius Caecilius Metellus, consul 68 BC
Quintus Caecilius Metellus Celer, consul 60 BC, died 59 BC, perhaps poisoned by his wife Clodia
Quintus Caecilius Metellus Celer (people's tribune)
Quintus Caecilius Metellus Nepos Iunior, consul 57 BC
Lucius Caecilius Metellus, tribune of the plebs 49 BC, resisted Julius Caesar when he wanted to plunder the treasury (Caesar Civil War 1.33)
Quintus Caecilius Metellus Pius Scipio Nasica - also known as Metellus Scipio, consul 52 BC, adopted son of Metellus Pius, with whom he campaigned against Sertorius. He became father-in-law of Gnaeus Pompeius Magnus. He commanded the ""Republican"" army at Thapsus (46 BC), and was killed in battle against Julius Caesar's legions.Women of the Caecilii Metelli family were always named Caecilia Metella, according to the Roman naming convention. To distinguish them, the Caecilias often carried their fathers' cognomina, declined in a female form. Famous Caecilias include:

Caecilia Metella Dalmatica, wife of Marcus Aemilius Scaurus and Lucius Cornelius Sulla, successively
Caecilia Metella Calva, mother of Lucius Licinius Lucullus
Caecilia Metella Balearica Minor, mother of Publius Clodius
Caecilia Metella CelerIn addition to the historical Caecilii Metelli listed here, John Maddox Roberts invented the fictional character Decius Caecilius Metellus for his historical mystery series SPQR.",2,1
76,denso,denso,"Denso Corporation (株式会社デンソー, Kabushiki-Gaisha Densō) is a global automotive components manufacturer headquartered in the city of Kariya, Aichi Prefecture, Japan.After becoming independent from Toyota Motors, it was founded as Nippon Denso Co. Ltd. (日本電装株式会社, Nippon Densō Kabushiki-Gaisha) in 1949. About 25% of the company is owned by Toyota Motor. Despite being a part of the Toyota Group of companies, as of the year ending March 2016, sales to the Toyota Group accounted for less than 50% of the total revenue (44% of the revenue originated from other car manufacturers in Japan, Germany, the U.S. and China). Currently, Denso ranks the second largest auto parts supplier in the world.As of 2016, Denso Corporation consisted of 189 subsidiaries (63 in Japan, 34 in the Americas, 34 in Europe and 58 in Asia/Oceania) with a total of 151,775 employees. The company is further escalating its global production structure by establishing manufacturing complexes in India, Mexico and Indonesia in order to accommodate further global demand for their products. In 2013 Denso was listed at #242 on the Fortune Global 500 list with a total revenue of $43.1 billion.",2,1
104,nipparts,nipparts,Nipparts is a private company set up in 1981 and based in the Netherlands and is Europe's number one supplier of Japanese and Korean aftermarket car parts.,2,1
119,aisin,aisin,"Aisin Seiki Co., Ltd. (アイシン精機株式会社, Aishin Seiki Kabushiki Kaisha), also known as Aisin, is a Japanese corporation that develops and produces components and systems for the automotive industry. Aisin is a Fortune Global 500 company, ranked 329 on the 2018 rankings. Aisin is 30% owned by the Toyota Group of companies.Aisin Seiki was founded in 1949 and supplies engine, drivetrain, body and chassis, aftermarket, and other main automotive parts for various major OEMs. In addition to partaking in the automotive markets, Aisin also offers life and amenity products (e.g. furniture and sewing machines), energy systems, welfare products, and other products/services.There are various 'brands' in the holding, spawned from the companies that received recognition in their area of specialisation:

Aisin AW (Formerly Aisin-Warner; Joint Venture with BorgWarner terminated in 1987) — automatic transmissions
Aisin AI — manual transmissions
Advics, Hosei — brakes
IMRA America — Femtosecond lasers; battery research and application",2,1
126,girling,girling,"Girling may refer to:

A car component factory, Girling, named after Albert H. Girling.",2,1
127,brembo,brembo,"Brembo S.p.A. is an Italian manufacturer of automotive brake systems, especially for high-performance cars and motorcycles based in Bergamo, near Milan.",2,1
168,advics,advics,"Aisin Seiki Co., Ltd. (アイシン精機株式会社, Aishin Seiki Kabushiki Kaisha), also known as Aisin, is a Japanese corporation that develops and produces components and systems for the automotive industry. Aisin is a Fortune Global 500 company, ranked 329 on the 2018 rankings. Aisin is 30% owned by the Toyota Group of companies.Aisin Seiki was founded in 1949 and supplies engine, drivetrain, body and chassis, aftermarket, and other main automotive parts for various major OEMs. In addition to partaking in the automotive markets, Aisin also offers life and amenity products (e.g. furniture and sewing machines), energy systems, welfare products, and other products/services.There are various 'brands' in the holding, spawned from the companies that received recognition in their area of specialisation:

Aisin AW (Formerly Aisin-Warner; Joint Venture with BorgWarner terminated in 1987) — automatic transmissions
Aisin AI — manual transmissions
Advics, Hosei — brakes
IMRA America — Femtosecond lasers; battery research and application",2,1
173,alca,alca,"Alca may refer to:

Advanced Light Combat Aircraft; see Aero L-159 Alca
Alca, a genus of birds; see razorbill
The Free Trade Area of the Americas, known as Área de Libre Comercio de las Américas in Spanish, and Área de Livre Comércio das Américas in Portuguese
The Professional Landcare Network, previously known as the Associated Landscape Contractors of America",2,1
